time gssi_420mhz
0.0000000000e+00 -1.68867173e-03
9.7847358121e-11 -1.70045079e-03
1.9569471624e-10 -1.56668772e-03
2.9354207436e-10 -1.15508750e-03
3.9138943249e-10 -4.15976570e-04
4.8923679061e-10 5.46347385e-04
5.8708414873e-10 1.48210220e-03
6.8493150685e-10 2.14325077e-03
7.8277886497e-10 2.58930274e-03
8.8062622309e-10 3.60487684e-03
9.7847358121e-10 7.10839404e-03
1.0763209393e-09 1.63801926e-02
1.1741682975e-09 3.59385596e-02
1.2720156556e-09 7.09581927e-02
1.3698630137e-09 1.26248927e-01
1.4677103718e-09 2.04960790e-01
1.5655577299e-09 3.07307116e-01
1.6634050881e-09 4.29653899e-01
1.7612524462e-09 5.64282321e-01
1.8590998043e-09 6.99993890e-01
1.9569471624e-09 8.23526912e-01
2.0547945205e-09 9.21544312e-01
2.1526418787e-09 9.82796018e-01
2.2504892368e-09 1.00000000e+00
2.3483365949e-09 9.71042163e-01
2.4461839530e-09 8.99250961e-01
2.5440313112e-09 7.92714945e-01
2.6418786693e-09 6.62823320e-01
2.7397260274e-09 5.22367036e-01
2.8375733855e-09 3.83604663e-01
2.9354207436e-09 2.56663894e-01
3.0332681018e-09 1.48533773e-01
3.1311154599e-09 6.27425744e-02
3.2289628180e-09 -3.42953266e-04
3.3268101761e-09 -4.27798893e-02
3.4246575342e-09 -6.81107256e-02
3.5225048924e-09 -8.04504641e-02
3.6203522505e-09 -8.37634448e-02
3.7181996086e-09 -8.14082599e-02
3.8160469667e-09 -7.59471905e-02
3.9138943249e-09 -6.91591829e-02
4.0117416830e-09 -6.21711689e-02
4.1095890411e-09 -5.56284655e-02
4.2074363992e-09 -4.98498909e-02
4.3052837573e-09 -4.49434425e-02
4.4031311155e-09 -4.08826822e-02
4.5009784736e-09 -3.75566798e-02
4.5988258317e-09 -3.48076350e-02
4.6966731898e-09 -3.24643802e-02
4.7945205479e-09 -3.03724303e-02
4.8923679061e-09 -2.84164154e-02
4.9902152642e-09 -2.65303434e-02
5.0880626223e-09 -2.46943124e-02
5.1859099804e-09 -2.29206494e-02
5.2837573386e-09 -2.12355521e-02
5.3816046967e-09 -1.96627899e-02
5.4794520548e-09 -1.82139893e-02
5.5772994129e-09 -1.68867055e-02
5.6751467710e-09 -1.56684427e-02
5.7729941292e-09 -1.45431616e-02
5.8708414873e-09 -1.34969374e-02
5.9686888454e-09 -1.25207995e-02
6.0665362035e-09 -1.16105419e-02
6.1643835616e-09 -1.07646068e-02
6.2622309198e-09 -9.98160211e-03
6.3600782779e-09 -9.25867716e-03
6.4579256360e-09 -8.59121915e-03
6.5557729941e-09 -7.97360273e-03
6.6536203523e-09 -7.40033379e-03
6.7514677104e-09 -6.86694527e-03
